关于界面日期

关于                                                    About
设备类型                                                Device type
软件版本                                                Version
版权所有 ©2019 重庆贝奥新视野医疗设备有限公司           Copyright @2019 Chongqing BioNewVision Medical Device Co.Lt.
确定                                                    OK
取消                                                    Cancel
电脑自动视野仪系统                                      Computer automatic perimeter system


病人管理界面
检查日期                                                Check date
选择                                                    Select
到                                                      To
按时间查询                                              Query by time
患者ID                                                  Patient ID
姓名                                                    Name
性别                                                    Sex
名字                                                    First name
姓氏                                                    Last name
出生日期                                                Birth date
男性                                                      Male
女性                                                      Female
其它                                                    Others
载入                                                    Load
第                                                      The 
页                                                      Page
总共                                                    Total
条纪录                                                  Records
球面                                                    Sphere
柱面                                                    Cylinder
轴向                                                    Axis
视力                                                    Visual acuity
右眼                                                    Right eye
左眼                                                    Left eye
计算                                                    Calculate
关闭                                                    Exit
复查                                                    Recheck
修改                                                    Modify
删除                                                    Delete
查看报告                                                View reports
进入检测                                                Check
保存                                                    Save
新建患者                                                New patient
新建                                                    New
返回                                                    Back



分析界面
左眼分析                                                Left eye Analysis
右眼分析                                                Right eye Analysis
进展分析                                                Progress Analysis
视岛                                                    View island
常规分析                                                Single
三合一                                                  Three in one
总览                                                    Overview
阈值                                                    Threshold
筛选                                                    Screening
动态                                                    Dynamic
动态数据                                                Dyanmic data
分析                                                    Analysis



检查界面
程序名                                                  Program name
光标                                                    Cursor
策略                                                    Strategy
假阳性率                                                False positive rate
假阴性率                                                False negative rate
假阳错误                                                False Pos errors
假阴错误                                                False Neg errors
固视丢失率                                              Fixation loss rate
固视丢失                                                Fixation losses
测试点数                                                Check dot count
测试时间                                                Check timespan
瞳孔直径                                                Pupil diameter
眼动警报                                                Eye move alarm mode
固视偏移                                                Fixation deviation
选择程序                                                Select program
参数设置                                                Params setting
开始测试                                                Start
恢复检查                                                Resume
暂停检查                                                Pause
停止测试                                                Stop
切换眼别                                                Switch eye


程序选择
特殊                                                    Special
动态                                                    Dynamic
自定义                                                  Custom
设置为默认程序                                          Set to default program

content
登录                                                    Login
设置                                                    Settings
自定义                                                  Customize
患者                                                    Patient
检测                                                    Check

动态分析
不报警                                                  No alarm
只报警                                                  Only alarm
报警并暂停                                              Alarm and pause
眼动报警模式                                            Eye move alarm mode
测试用时                                                Check time
刺激光标                                                Stimulus cursor
背景光                                                  Background light
标准动态                                                Standard
盲区动态                                                Blind area
暗区动态                                                Dark area
直线动态                                                Straight line
屈光度                                                  Diopter
诊断                                                    Diagnosis

等视标识线                                              Iospter ident
离心度起点                                              Degrees start
子午线起点                                              Meridian start
离心度停止                                              Degrees stop
子午线停止                                              Meridian stop
刺激亮度反应                                            Stimulus response

DynamicParamsSetting.qml
